"","Openness","Conscientiousness","Extraversion","Agreeableness","Neuroticism","BMissing","CMissing","Attrition","Age","Gender","Education"
"111",4.25,4.25,1,2.5,1.75,0,1,0,60,0,0
"112",4,4.75,4.25,4.25,1.75,0,0,0,60,1,1
"113",2.25,4,4,3.75,1,0,0,0,60,1,0
"114",4,4.25,4.5,3,3,0,0,0,60,0,0
"115",3,4,2.75,3.25,1,0,0,0,60,1,1
"116",5,3.75,2.75,4.5,2.25,0,1,0,60,1,1
"117",4.5,4.25,3.5,4,1.5,0,0,0,60,0,1
"118",1.75,4.25,2.75,4,4,1,0,0,60,1,0
"119",4,5,4.75,4.25,2.25,0,0,0,60,1,1
"120",2.25,3.25,4,3.25,3,1,1,1,60,0,0
"121",3.75,4.75,3.75,5,1.25,0,0,0,60,1,1
"122",3,4.25,2.5,3.75,1.5,1,0,0,60,0,0
"123",4,4.25,4.5,4.75,1,0,0,0,60,0,1
"124",3,3.5,3.75,4,1.75,0,0,0,60,0,0
"125",3.5,3.75,3.75,4.75,1.5,0,0,0,60,0,1
"126",2.5,4.75,1.75,3.5,3.25,0,1,0,60,1,0
"127",2.75,3.75,2.75,3.25,3.25,0,0,0,60,0,0
"128",3,4.25,2.75,3.5,3,1,1,1,60,1,1
"129",4.25,4.5,4.5,5,2.25,0,0,0,60,0,0
"130",4.75,3.25,2.5,3.75,1.5,0,0,0,60,0,1
"131",4.75,5,4.25,4.75,2,0,1,0,60,1,1
"132",3,2.25,2.25,3.5,5,1,1,1,60,1,0
"133",3.75,2.75,3.75,5,3,0,0,0,60,1,1
"134",4,4,2,3.5,4.25,1,1,1,60,1,1
"135",4.75,5,3.5,4,3,1,1,1,60,1,1
"136",3,2.5,2.5,2,3.25,1,1,1,60,0,0
"137",3.5,4.75,1.5,3.75,1.5,0,0,0,60,1,1
"138",3.75,3.25,3.75,4,2.75,0,0,0,60,1,1
"139",3.75,3.75,3,3.75,2.5,1,0,0,60,0,1
"140",3.75,3.75,3.5,2.75,2.75,0,0,0,60,0,1
"141",4,5,3,3.25,3.75,1,1,1,60,1,0
"142",4.75,4.75,4.75,4.25,2.75,0,0,0,60,1,1
"143",3.5,5,3.75,3.75,3,0,0,0,60,0,0
"144",4.5,4,3.5,4.25,2.25,0,0,0,60,0,0
"145",4,4.25,3.5,4.25,2.5,0,0,0,60,0,0
"146",5,4.75,4.75,4.5,2.25,0,0,0,60,0,1
"147",3.75,4,3.25,4,2.75,0,0,0,60,1,0
"148",4,3.75,2.75,3.25,2.75,1,1,1,60,0,1
"149",3,4.5,4.75,3.75,3,0,0,0,60,1,0
"150",3.75,5,3,3.75,3,1,1,1,60,1,0
"151",1.75,4.25,3.5,4.75,2.5,0,0,0,60,0,0
"152",4,3.25,4,5,1.75,1,0,0,60,1,1
"153",4.25,3.25,3,3.5,3.75,0,0,0,60,0,1
"154",2.25,5,4.25,3.75,3.25,0,0,0,60,1,0
"155",3.75,3,4.25,2.75,3.75,0,0,0,60,0,0
"156",3.5,4.5,3.25,4.25,2.5,1,0,0,60,0,1
"157",4.5,3.75,4,4.75,2.25,0,0,0,60,0,0
"158",3.5,4.25,3.25,3.75,1.5,0,0,0,60,0,0
"159",3.5,4.25,4.25,4.75,1.75,0,0,0,60,1,0
"160",2.5,4.25,2.5,4,2.75,0,0,0,60,1,0
"161",2.75,4.5,3,2.25,4,1,1,1,60,0,0
"162",2.5,5,3,2.75,2.5,0,0,0,60,0,0
"163",2.5,4.5,2.5,3,2.75,0,0,0,60,1,0
"164",2.75,4,1.5,4.25,1.25,0,0,0,60,0,1
"165",1.75,3.25,3.5,3.75,1.25,1,1,1,60,0,0
"166",3,4,3,3,1.5,0,0,0,60,0,1
"167",3.25,4.75,3,4,2.5,0,0,0,60,1,0
"168",4,4.75,4.25,4,2.5,1,1,1,60,0,0
"169",3.5,3.5,3.25,3.25,1.25,0,1,0,60,0,0
"170",4,3.5,3.75,4,2.75,1,0,0,60,0,1
"171",3.25,3.25,3,3,2.75,1,1,1,60,1,0
"172",3.25,4,2.5,3,2.25,0,0,0,60,0,0
"173",2,5,2.5,3.75,3.5,0,1,0,60,0,0
"174",2.5,4,2.25,4.25,2.5,0,0,0,60,1,0
"175",3,4,3.75,4,1,0,0,0,60,0,0
"176",2.5,4,3,4,3,0,0,0,63,1,0
"177",2.5,3,3,3,3,0,0,0,60,1,1
"178",2.5,3.5,4.25,4.75,2,0,0,0,60,0,0
"179",4.25,3.25,4.25,4.5,3,0,0,0,60,1,1
"180",3,3,2.5,3,2.5,0,0,0,60,1,1
"181",4.5,4.5,1.75,5,3.25,1,1,1,60,1,0
"182",3.25,4.25,3.25,3.75,3,0,0,0,60,1,1
"183",3.5,4,3.25,3,2.5,0,0,0,60,1,0
"184",4.75,4,3,4.75,1.5,1,0,0,60,0,0
"185",3.25,4.5,3,4.25,3.75,1,0,0,60,1,0
"186",2.5,4.25,2.25,3,1,1,0,0,60,1,0
"187",2.75,3.25,2.5,2.5,2.75,1,1,1,60,0,0
"188",3.25,3.5,1.5,3,3,1,1,1,60,0,0
"189",4.75,4.25,3.5,3.75,1.5,0,0,0,60,1,1
"190",3.75,3,3,3.5,2.75,1,1,1,60,0,0
"191",3.75,3.75,3.5,3.75,3.25,0,0,0,60,1,1
"192",3.25,3.25,2.75,3.25,3,1,1,1,60,1,0
"193",3.5,3.75,1,4.75,3.5,0,0,0,60,1,0
"194",4.5,3.5,3.5,3.75,3.75,0,0,0,60,1,0
"195",4.25,4.25,4.75,4.5,2.25,1,1,1,60,0,0
"196",2.75,3.25,4.25,3,2.75,1,1,1,60,0,0
"197",4.25,4.25,3.75,4.25,3.25,0,0,0,60,1,0
"198",1.75,3.75,3.25,3,1.5,0,0,0,60,0,0
"199",2.75,4.5,3,3.75,1,1,0,0,60,0,1
"200",4.5,4.5,4,4.25,2.25,0,0,0,60,0,0
"201",5,4.5,4.5,4.75,1.5,0,1,0,60,1,1
"202",5,3.25,2.5,3.75,1.25,0,0,0,60,0,1
"203",4.25,3.5,3.75,5,4.25,0,0,0,60,1,1
"204",3,4.5,2.75,3.5,2.5,1,1,1,60,0,0
"205",3.5,2.75,2.5,5,3.75,0,0,0,60,1,0
"206",3.5,4,4.5,4.5,1.25,0,0,0,60,1,0
"207",3,5,3,4.5,2.5,0,1,0,60,1,0
"208",1.75,3.75,1.5,4.25,1.75,1,1,1,60,1,0
"209",3.75,3,3.5,3.5,3.75,1,0,0,60,0,0
"210",2,5,2,3,2.5,0,0,0,60,0,0
"211",1.25,4.75,3.25,4.5,2,0,0,0,60,0,0
"212",4.75,5,3.5,5,1.25,0,0,0,60,1,1
"213",4.75,4,2.5,4.5,4.5,0,0,0,60,1,1
"214",2.75,3.5,4.75,4.75,1.75,1,1,1,60,1,1
"215",4.25,4,3.25,4.75,2.25,1,0,0,60,1,0
"216",2.75,4.5,2,2.25,2,0,0,0,60,0,0
"217",3,2,3.25,3.5,3.25,0,1,0,60,0,0
"218",4.75,3.5,3.25,4,4.25,0,0,0,60,0,0
"219",3.25,3.75,3.75,4.25,3,0,0,0,60,0,0
"220",3.25,3.5,4.5,4,1.5,0,0,0,60,1,1
"221",4.75,4,4.25,3.5,2,0,0,0,60,1,1
"222",3.75,5,4.25,4,1.25,1,1,1,60,1,1
"223",3.25,4,4,4.25,2.75,1,1,1,60,0,0
"224",3,5,4.75,5,1.75,0,1,0,60,1,0
"225",5,4,3,4.75,3.75,0,0,0,60,0,1
"226",3.5,5,4.5,4.5,2.25,1,1,1,60,1,1
"227",3.75,4,3.25,3.75,2.75,1,0,0,60,1,1
"228",3.5,4.25,2,3.25,2.25,0,0,0,60,0,0
"229",3.5,5,3.75,4.75,1,0,0,0,60,0,0
"230",3.25,5,4,2.75,1,0,0,0,60,1,0
"231",4.75,3.5,4,5,1.75,0,0,0,60,0,1
"232",3.25,4.75,4,3.5,2,0,0,0,60,0,0
"233",3.5,5,5,5,1,1,1,1,60,0,0
"234",4,3.5,2.5,4,2.5,0,0,0,60,1,0
"235",3.25,3.75,2.5,4.5,2.75,0,1,0,60,0,0
"236",2.75,3.75,3.25,3.25,2.25,1,0,0,60,0,0
"237",3.75,4.75,3.75,4.75,2,0,0,0,60,1,0
"238",5,3.25,3.75,4.25,2.25,0,0,0,60,0,1
"239",3.75,4.75,4,4.25,4,1,1,1,60,1,0
"240",3,3.5,3.5,3.5,3.25,0,0,0,60,1,0
"241",3,4.25,2,3.25,2,0,0,0,60,0,0
"242",3.5,4.75,4.5,3.5,2.25,1,1,1,60,1,1
"243",3.5,3.5,2.5,4,2.75,1,1,1,60,0,1
"244",3.25,3.25,1.75,3.5,1,0,0,0,60,0,1
"245",2.5,4.75,3.5,4.5,1.75,0,0,0,60,1,0
"246",5,3.5,2.5,5,2.5,0,0,0,60,1,1
"247",3.25,4.75,3.75,4,2.25,0,0,0,60,1,0
"248",4.75,3.75,3.25,5,2,0,0,0,60,0,1
"249",2,3.75,1.5,3.5,2,0,0,0,60,0,1
"250",3.5,1.75,2.5,4.25,1.75,0,0,0,60,0,0
"251",3.5,4,3.25,4,3,0,0,0,60,1,1
"252",2.25,4,3.25,3.75,2.5,0,0,0,60,1,1
"253",3.75,3.25,3.75,4,3.25,0,0,0,60,0,0
"254",2.25,4.75,3.75,4,1.75,0,1,0,60,1,0
"255",2.5,3.5,2.75,4.25,2,0,0,0,60,1,1
"256",2.75,3.75,2.75,4.5,3,0,0,0,60,1,0
"257",4,3.5,5,4,2.5,1,1,1,60,1,0
"258",4.5,3.5,4.25,4.75,2.5,1,1,1,60,1,0
"259",3.25,3.75,3,3.5,2.75,0,0,0,60,1,0
"260",3,4,1.75,3.25,2.75,0,0,0,60,0,0
"261",3.25,4.75,4.5,3.75,1.25,1,0,0,60,0,0
"262",2,5,3.5,3.25,1,1,1,1,60,1,0
"263",2.75,3.5,3.25,2.5,3.75,0,0,0,60,0,0
"264",3,3.75,3.25,2.75,2,0,1,0,60,1,0
"265",4.75,4,3.5,4.75,1.5,0,0,0,60,0,1
"266",4,4.75,2.75,4.75,2.25,0,0,0,60,1,1
"267",3.75,3,3,5,3.25,0,0,0,60,1,1
"268",3.5,2.75,3,4.5,1.25,0,0,0,60,1,1
"269",4,3.75,2.75,3.75,3.5,0,0,0,60,1,1
"270",3.5,4.25,3,3.75,2.5,0,0,0,60,0,0
"271",3,4,3.75,4,1.5,0,0,0,60,0,1
"272",4.5,4.75,3.75,4.75,2.25,0,0,0,60,1,1
"273",4.75,3.75,4.75,4.25,2.25,0,0,0,60,0,1
"274",1.5,4.5,1.5,1.5,3,0,1,0,60,1,1
"275",3.5,3.25,2.75,3,3.25,0,0,0,60,1,0
"276",3,4.75,2.5,3.75,3.25,0,0,0,60,1,1
"277",3.5,4.75,2.75,4.75,3.25,0,0,0,60,1,1
"278",3.25,4.25,3,3.25,2.75,0,0,0,60,1,0
"279",4.25,4.25,3.5,4.5,3.25,0,0,0,60,1,1
"280",3.25,4.5,3.75,4,1.25,1,0,0,60,0,0
"281",2,4.75,2,3.75,1.75,0,0,0,60,1,0
"282",4,3.5,2.75,4.25,3,0,0,0,60,1,0
"283",3.75,4.5,3.75,3.75,3,0,0,0,60,0,1
"284",2.25,4.75,4,4.5,2.5,0,0,0,60,1,0
"285",4,4.25,3.25,4.25,2,0,0,0,60,1,1
"286",2.5,4,4.5,4,1,0,0,0,60,1,0
"287",3,4.75,3.25,3,1.25,0,0,0,60,0,1
"288",2,3.75,1.75,3.5,2.75,0,0,0,60,1,1
"289",4.25,3.75,2.25,4.75,1,0,0,0,60,0,1
"290",3,3.25,4,3.5,2.25,0,0,0,60,0,1
"291",4.5,3.5,3.75,3.25,1.25,0,0,0,60,1,1
"292",3,4,3,3,2.25,0,0,0,60,1,0
"293",3.75,4.5,4.25,4.5,2.5,0,1,0,60,0,0
"294",4.25,4.75,3.5,2.5,4.75,0,0,0,60,1,0
"295",4.25,3.5,3.25,5,2,1,0,0,60,1,0
"296",4.75,5,3.25,5,3,0,0,0,60,1,1
"297",2,3.25,1.75,3.25,2.75,0,1,0,60,0,0
"298",3,5,2.75,4.25,2,0,0,0,60,1,0
"299",4.75,4,3,4.5,1.5,1,0,0,60,0,1
"300",2.25,4.5,4,3.75,4.25,0,0,0,60,1,0
"301",4.75,3.75,3.25,4.75,1.5,0,0,0,60,0,1
"302",3.5,4.5,2.25,3.75,2,0,0,0,60,0,1
"303",3,2.75,2.75,2.5,2.75,1,1,1,60,1,0
"304",3,2.75,4.25,5,2.5,0,0,0,60,1,1
"305",5,4.25,4.25,5,3,0,0,0,60,1,1
"306",3.75,3.5,4,5,1.5,1,1,1,60,0,1
"307",4.75,2.75,3,4.25,2.25,0,1,0,60,0,1
"308",3,5,3,4,1,1,0,0,60,0,0
"309",3.25,3.75,3,3.25,4,0,0,0,60,0,0
"310",2.75,4.5,3,2.75,3.25,0,0,0,60,0,0
"311",3.5,4.5,3.5,4.25,3.25,0,0,0,60,1,1
"312",4,4.75,4.25,4.75,1.5,0,0,0,60,1,0
"313",2.75,4.25,3.5,3.5,2,0,1,0,60,0,1
"314",2.5,4.25,2.5,2.75,1.5,0,0,0,60,0,0
"315",1,3.75,3,3.5,1,0,0,0,60,0,0
"316",4,4.75,2.75,3,4.75,0,0,0,60,0,0
"317",3.75,4.25,3,3.25,2.25,1,1,1,60,1,0
"318",4,4.5,2.75,3.75,2.5,0,0,0,60,1,1
"319",4.25,3.5,4.75,5,1,0,0,0,60,1,1
"320",5,4.75,3.25,4,2.25,0,0,0,60,0,1
"321",3,4.5,3,2.25,1.5,1,1,1,60,1,1
"322",3.75,3.5,3.25,4,3,1,1,1,60,0,0
"323",4,4.5,3.75,4,1.5,1,1,1,60,0,0
"324",3.5,3.25,4,5,1.25,0,0,0,60,1,0
"325",4.25,3.5,4,4.5,1,0,0,0,60,0,1
"326",2.5,4.5,4.5,3.5,2.75,1,1,1,60,1,0
"327",1.5,4,1.25,2.75,5,1,1,1,60,1,0
"328",3.5,4.25,2.25,3.25,1,0,0,0,60,0,0
"329",3.25,3.25,2.25,4.25,2.5,0,0,0,60,1,0
"330",3.75,4,3.5,4,1.5,0,0,0,60,0,1
"331",4,4,3.5,4,2.75,0,0,0,60,0,1
"332",4,3.5,3.25,2.75,2.75,0,0,0,60,1,1
"333",4,3.75,3.5,4.5,2.25,0,0,0,60,0,1
"334",5,5,4.75,5,4.75,0,0,0,60,1,1
"335",5,3,5,5,2.25,1,0,0,60,1,1
"336",3.25,5,3,4.25,1.25,0,0,0,60,1,0
"337",4.75,4.25,1,3.75,2.5,0,0,0,60,1,0
"338",3.25,3.5,3,3.75,4,0,0,0,60,0,0
"339",3.25,3.5,3.5,2.75,2.25,0,1,0,60,0,1
"340",4,3.5,3.75,4.75,1.5,0,0,0,60,0,1
"341",3.5,2.5,3.75,4,2.75,0,0,0,60,0,0
"342",3.75,3.75,3.5,4.5,3,1,1,1,60,1,1
"343",3.75,4,3.5,4.5,2.25,0,0,0,60,1,1
"344",3,3.25,2.75,2.75,1.75,0,1,0,60,0,0
"345",3,4.25,3.25,3.25,4,0,0,0,60,1,1
"346",4,4,2.75,3.5,3,0,0,0,60,1,1
"347",3.5,5,4.5,4.5,2.75,1,1,1,60,1,0
"348",3.75,4,3.25,3.75,3,0,0,0,60,1,1
"349",3.25,4.25,4,4.25,1.75,0,1,0,60,0,0
"350",3,3.5,4.5,4.5,1.25,0,0,0,60,1,1
"351",4.25,4.5,2.25,5,2.5,0,0,0,60,0,1
"352",3.75,5,4,5,2,0,1,0,60,1,0
"353",4.25,4,3.5,4.75,3.75,0,1,0,60,1,1
"354",4.5,2.5,3.75,4.25,2.25,0,0,0,60,1,0
"355",4,5,2.5,3.75,3,0,0,0,60,1,1
"356",3,2.5,1.75,3,3.25,0,0,0,60,0,0
"357",3.25,4.25,2.5,2.75,3,0,0,0,60,0,0
"358",4.5,3,3.75,4.25,1.5,1,1,1,60,1,1
"359",2.25,4.25,2.5,2.75,4.25,0,0,0,60,0,0
"360",3,3,4.25,2.75,3.25,0,0,0,60,0,0
"361",4.75,3.5,3.25,4.5,2.75,0,0,0,60,1,1
"362",3.75,3.25,3.75,4,2.75,1,1,1,60,0,1
"363",2.5,4,3,3,3.25,0,1,0,60,1,0
"364",4.25,2.5,3.5,4.75,3.5,0,0,0,60,1,1
"365",3.25,5,4.25,4.25,1,1,1,1,60,1,0
"366",2.25,3.5,2.5,3.25,2.25,0,0,0,60,0,0
"367",3.75,5,3.25,4.5,1.75,0,0,0,60,1,1
"368",4,3.75,3.5,4.25,1.75,1,1,1,60,0,1
"369",4.25,4,4.25,4.25,2,0,0,0,60,0,1
"370",1.75,3.25,4.25,3.75,2.5,0,0,0,60,0,0
"371",2.5,3.75,4,3.75,4,0,1,0,60,0,0
"372",4.5,4.5,3,3.25,1.5,0,0,0,60,0,0
"373",3.75,5,4.5,4.25,3.25,0,1,0,60,1,1
"374",4.25,3.75,2.75,3.5,2.25,0,0,0,60,0,1
"375",3.5,4,2.25,3.75,1.5,0,0,0,60,0,1
"376",3.75,4.75,2.75,4.25,1.5,0,0,0,60,1,1
"377",3,4.25,3.25,2.25,2.5,1,1,1,60,1,0
"378",4,4.75,2.25,4.5,1.5,0,0,0,60,1,1
"379",3,5,2.5,4.75,5,0,0,0,60,1,0
"380",2.5,2.75,4.25,4,1.75,0,0,0,60,0,0
"381",3,4.5,3.75,3.75,3.5,0,0,0,60,1,1
"382",2.5,4.5,2.75,3.25,3,0,1,0,60,1,0
"383",3.25,3.75,3.25,3.5,3.25,0,0,0,60,0,0
"384",2.5,4.5,3,3.5,3,0,0,0,60,1,0
"385",3.75,4.5,3.5,4.5,1.5,0,0,0,60,0,1
"386",2.5,3.25,3,4.75,1.75,0,0,0,60,1,0
"387",3,3.25,1.75,3.75,2.75,1,0,0,60,1,0
"388",3,4.25,2.75,3.75,2.5,1,0,0,60,0,1
"389",1,3.75,2.25,3.25,1.5,0,0,0,60,1,0
"390",2.75,4,3,3.5,2.25,0,0,0,60,1,1
"391",4.75,3.25,3.75,3.75,2.5,1,0,0,60,0,1
"392",3,3.75,1.75,4.25,1.5,0,0,0,60,1,0
"393",2.25,3.5,3,4,2.75,0,1,0,60,1,1
"394",3.75,4.75,4,4,2.75,0,0,0,60,1,0
"395",3.5,5,5,3,1.25,0,1,0,60,1,0
"396",2.25,4.25,3.75,3.5,2,0,1,0,60,0,0
"397",2.75,4.75,4.5,4.5,1,1,1,1,60,0,0
"398",3,4.25,1.25,3.5,2.25,0,0,0,60,1,1
"399",3,5,2.75,4.25,2.25,0,1,0,60,1,1
"400",3.25,3.25,3.25,5,1.75,0,0,0,60,1,1
"401",3.5,4.5,3,4,1.25,0,0,0,60,1,1
"402",4,4.75,5,5,2.5,0,0,0,60,0,1
"403",3.75,4.5,2.75,4,1.25,0,0,0,60,0,0
"404",3.75,3.25,4.75,5,1.25,1,1,1,60,1,1
"405",5,2,2.5,4.75,2.25,0,0,0,60,1,1
"406",5,4.5,4.75,3.5,1,1,0,0,60,0,0
"407",2.75,2.5,4,4.75,1.75,0,0,0,60,1,1
"408",3.75,3.5,2.75,3,2.5,0,1,0,60,0,0
"409",3.5,4.25,4.75,3.5,2,0,0,0,60,1,1
"410",3,3,4.5,4.75,2.5,0,0,0,60,0,0
"411",4.5,3.75,4.75,4.75,2.75,0,0,0,60,1,0
"412",2.5,4.75,4.25,3.5,2.75,0,0,0,60,1,0
"413",2.25,4.75,3,4.25,2.75,0,0,0,60,1,0
"414",3,5,2.75,4.5,1.75,0,0,0,63,0,0
"415",4.25,4.5,2,3,4.25,0,1,0,60,0,0
"416",3.5,5,4.5,3.75,2.5,0,0,0,60,1,1
"417",3.75,5,2.5,3.75,2.75,0,0,0,60,1,0
"418",3.25,5,3.5,5,2.25,0,0,0,60,1,0
"419",4.5,2.5,3.75,4.75,2,0,0,0,60,1,1
"420",3.25,4.5,3,4,2.5,0,0,0,60,1,0
"421",3.5,5,4,4.25,3.25,0,0,0,60,0,1
"422",4.5,4.25,5,5,3,0,0,0,60,1,0
"423",3,3.5,4.5,3.75,2.25,1,0,0,60,0,1
"424",3.5,4.75,3.75,4.25,2.75,0,0,0,60,1,1
"425",4.25,5,5,5,1,0,0,0,60,1,1
"426",3,4.75,2.25,3.5,3.5,0,0,0,60,1,1
"427",4.5,5,2,3.75,2,0,0,0,60,1,0
"428",2.5,3.25,3.25,2,1.75,0,0,0,60,0,0
"429",3.25,4.75,3.75,3.5,1,1,1,1,60,0,0
"430",3,4.25,3.25,4,1.25,0,0,0,60,0,0
"431",3,4,3,3.25,3,1,1,1,60,1,1
"432",4.25,4.25,2.5,4,2.75,0,0,0,60,1,1
